year,latitude,longitude,notes,external
1565,51.61774,-0.30885,Cottrell Cottages Built [modern sign],
1580,51.59385,-0.38172,Tummies est. 1988,
1592_,51.59615,-0.37609,,
1624_,51.45841,-0.47580,The house and freehouse were founded... by the year,
1625_,51.63367,-0.07464,Salisbury House [recently painted on sign],331374324
1629,51.53503,-0.46021,Io. Atlee Io. Robince, Church Wa.,360739067
1675,51.48795,-0.47839,,
1696,51.61740,-0.22718,T N,544200461
1700_,51.41438,-0.36002,The Old Saddlery Circa,729735977
1705,51.59430,-0.38072,Queens Head [recently painted on post],
1721,51.59400,-0.38179,,
1722_,51.57261,-0.14895,Anno The Six Almes-Houses founded by Sr. John Woolaston Kn.,912188782
1729,51.5899919,-0.2266909,Alms Houses,
1730,51.4087002,-0.4898291,HW,
1759_,51.42788,-0.32583,Peg Woffington Cottage,708005546
1767,51.4955386,-0.3656802,A Free School Erected by E.B.,
1768_,51.45643,-0.47998,[age of the clock rather than the building],866213397
1782,51.48565,-0.30727,Deo Hoc Templem Erat Aedificatum Et Dedicatum A.D.,166585101
1784_,51.62523,-0.06246,Institute of [?],56651227
1791,51.54732,-0.48029,Old Bank A.D.,990490557
1811,51.50959,-0.25997,Erected by the Worshipful Company of Goldsmiths A.D.,211819761
1811a_,51.57850,-0.15389,Prospect Place,
1817,51.59965,-0.06769,S B [on drainpipe],
1826,51.53713,-0.47144,Pleasant Place,
1826a_,51.65261,-0.08072,Established,91063116
1828,51.44339,-0.52287,J.P.W,
1833_,51.66701,-0.07082,College Place,92768580
1834,51.47918,-0.49285,W R IV,43798084
1834a_,51.50822,-0.30487,LV [?],96714381
1835,51.46778,-0.36143,Independent Chapel; Rebuilt;,1035381961
1836_,51.62618,-0.06509,TOI,436673739
1839,51.62111,-0.31624,The Cot [modern sign],
1840_,51.43566,-0.34821,Valentine Cottages E.D.C.,
1846,51.46452,-0.37752,Wellington Cottages,
1846a_,51.44089,-0.34956,The Cottage of Content. Thou shalt not bear false witness against thy neighbour. E.I.F.,311913765
1847,51.54483,-0.48322,Newland House Converted 1996,1001368831
1847R_,51.69828,-0.23458,,990096643
1847a_,51.66216,-0.04594,These almshouses were erected and endowed by Mr Charles Wright of Enfield Highway for the support of six poor women. A.D.,101434135
1847b_,51.45834,-0.43254,,
1848,51.54704,-0.47205,Victoria Cottages,
1848a_,51.54751,-0.47262,Victoria Cottages,
1849,51.55956,-0.33490,,229395601
1849a_,51.61453,-0.14899,[date indistinct],187886650
1850,51.48899,-0.30241,Hope Cottage,
1850a_,51.57846,-0.12378,WM,128799716
1851_,51.48797,-0.31022,George's Villas,
1851a_,51.48811,-0.31021,Rose Cottages,
1851b_,51.42419,-0.33466,1 Adelaide Villas,950043896
1851c_,51.42434,-0.33465,[?],950043893
1852,51.48438,-0.3069,Charlotte's Cottages,
1852a_,51.4737984,-0.3347686,St Margaret's Cottages,
1852b_,51.48824,-0.30969,Nedwod Cottages,
1852c_,51.48839,-0.30941,Autumn Cottages,
1853,51.5695,-0.34662,Summer's Place,
1853a_,51.4689178,-0.358139,Alpha Cottages,
1853b_,51.4687071,-0.3581505,[?] Cottages,
1853c_,51.4711736,-0.3522842,Alderwick Terrace,
1854_,51.48786,-0.31067,Lansdowne Cottages,
1854a_,51.48786,-0.31041,Star Cottages [date unclear],
1855,51.50948,-0.3311,Kensington Cemetery,
1855a_,51.4686947,-0.3767166,Alma Villas,
1855b_,51.48804,-0.31033,Perseverance Cottages,
1856_,51.69637,-0.23318,,760124726
1856a_,51.42429,-0.33465,Park Cottage,950043894
1858_,51.4744528,-0.3355657,Milton Place,
1859_,51.42311,-0.33345,,951204997
1859a_,51.6488334,-0.0830927,Rose Cottages,
1859b_,51.4703525,-0.3284286,Silver Hall Place,
1860,51.54019,-0.49048,G. L. Cherry Cottages,
1861,51.61386,-0.43700,,
1861a_,51.59293,-0.17546,Prospect Villas,
1861b_,51.50952,-0.30589,Girls School,91426376
1861c_,51.4241958,-0.3347466,Adelaide Villas,
1861d_,51.41392,-0.36057,AD:,
1862,51.50755,-0.27218,Established.,718831170
1862a,51.51685,-0.30078,Prospect Place,
1862b,51.60480,-0.39821,AD [part damaged - missing the A and 2],
1862c_,51.61469,-0.17261,,188283562
1862d_,51.42767,-0.32723,Oxford Villas,708005555
1863,51.57481,-0.33386,,229466309
1863a_,51.49105,-0.26893,Fromow & Sons Estd 1829 Erected,549228726
1863b_,51.4131663,-0.3113954,Hampton Wick U.D.C.,
1863c,51.53624,-0.19244,Listed Building,62230014
1864,51.57361,-0.34134,Trafalgar [Terrace?],183351551
1864a,51.53028,-0.22860,,911226077
1864b_,51.57308,-0.34198,Trafalgar Place,183419468
1864c_,51.42773,-0.32681,Harrow Villas,708005553
1864d_,51.42776,-0.32660,Eton Villas,708005552
1865,51.57285,-0.33747,,135659852
1865a_,51.57289,-0.34199,Hope Cottage,183420745
1865b_,51.42970,-0.50811,Musgrove,
1866,51.57246,-0.33739,,229688648
1866a,51.61175,-0.33554,called home Dec' 13,
1866b,51.59701,-0.38519,Manchester Villas,
1867_,51.42987,-0.33835,Clarence Terrace,986663453
1867a_,51.48476,-0.30612,This Stone Was Laid By Her Royal Highness Princess Margaret Duchess of Teck 31st December,882870880
1867b_,51.42887,-0.33705,Hyde Cottage,
1868,51.46805,-0.37835,Magdala Cottages,
1868a_,51.49146,-0.30846,Nelson Row,459194156
1868b,51.53832,-0.47361,Park Terrace,
1868c_,51.48565,-0.25595,Whittington Cottages,
1868d_,51.48727,-0.25647,Hogarth Terrace,
1868e_,51.43073,-0.33912,Devonshire Place,
1868f_,51.43090,-0.33925,Ada Cottages,
1868g_,51.59585,-0.37923,,
1869_,51.4685512,-0.3293125,Bath Villas,
1869a_,51.60388,-0.11685,LC,838009273
1869b_,51.48692,-0.25734,Suffolk Place,
1870_,51.4269,-0.3610,Rose Cottage,
1871,51.5700452,-0.3397754,,
1871a_,51.6550012,-0.0867398,William Place,
1871b_,51.66995,-0.01831,Leamington Cottage,120082967
1871c_,51.43167,-0.33969,Stafford Place,
1872,51.6013875,-0.4834587,A†D,
1872a,51.59436,-0.38305,Bridge Place T.E,
1872b_,51.42914,-0.50462,Dane More Cottages,
1872c_,51.42885,-0.33714,Laburnum Cottage,
1873,51.51716,-0.29972,Avenue Cottages,984971830
1873a_,51.67323,-0.20416,S,
1874,51.59677,-0.38510,Oak Cottage T.E.,
1874a_,51.49091,-0.30803,Alberto Villa,
1874b_,51.43000,-0.33847,Edith Cottages,986663458
1875,51.59835,-0.11982,,138428151
1876,51.53926,-0.25214,,86840426
1876a_,51.4105562,-0.4868538,,
1876b,51.40758,-0.48857,,
1877,51.51647,-0.41910,JM,
1877a_,51.57977,-0.15483,Springfield Cottages,817951789
1877b_,51.63525,-0.09536,Pritchett Terrace,677746494
1877c_,51.648313,-0.0836626,Myrtle Villa,
1877d,51.59768,-0.39570,Caroline Cottages,
1878,51.60861,-0.36372,A.D.,
1878a_,51.648311,-0.0837495,Clyde Villa,
1878b_,51.648311,-0.0839,Ayr Villa,
1878c_,51.6643489,-0.1825184,,
1878d_,51.60077,-0.07135,Derby Terrace,
1878e_,51.60071,-0.07090,[?]
1878f_,51.48814,-0.30595,Cleopatra Terrace,
1878g_,51.42639,-0.35850,Devonshire Villas,
1879,51.49916,-0.25601,NJ A.D.,787287273
1879a_,51.60007,-0.07123,[?]
1879b_,51.59993,-0.07125,Landermere Villa,
1879c_,51.62647,-0.17496,Portland Terrace RB,188003499
1879d_,51.49177,-0.30817,Enfield Cottages,
1879e_,51.49112,-0.30755,Snowdrop Villas,
1879f_,51.42944,-0.32351,,960076659
1879g_,51.42628,-0.35651,E.J.F.,717894014
1879h_,51.43202,-0.45923,AD,927109529
1880,51.59427,-0.32991,Poet Cottages,
1880a_,51.6609284,-0.0853944,Raleigh Cottages,
1880b_,51.49043,-0.27379,,
1880c_,51.59951,-0.07152,Castle Terrace,
1880d_,51.60083,-0.07090,St John's Villa,
1880e_,51.43296,-0.51430,AD,557988559
1880f,51.49608,-0.25392,Priory Gardens,786032262
1880g,51.49631,-0.25175,TC,,
1880h,51.53510,-0.24810,A.D,
1880i_,51.66614,-0.07338,JFR,92798510
1880j,51.59772,-0.39544,,
1880k_,51.43210,-0.34668,Fullwell Terrace,961008759
1881,51.59764,-0.39599,,
1881a_,51.4905561,-0.2734897,AD,
1881b_,51.69507,-0.23315,St Giles. South Myms Parish Room,787643233
1881c,51.6166904,-0.316065,Erected in loving memory of Robert Hollond by Ellen Julia his widow,
1881d_,51.6621064,-0.0890721,Glencall Villas,
1881e_,51.60002,-0.07077,Bedford Cottages,
1881f_,51.60049,-0.07126,[?],
1881g_,51.62838,-0.07538,Cowrie Terrace,
1881h,51.51896,-0.42241,Surprising Villas,
1881i_,51.49079,-0.30831,Florence Villas,
1881j_,51.49083,-0.30822,Park Villa,
1881k_,51.49112,-0.30755,Olive Villas,
1881l,51.51910,-0.42297,[?] Villas,
1881m_,51.51904,-0.42271,[?],
1881n_,51.67055,-0.08217,,90513254
1881o_,51.66411,-0.08372,Rolph Villas,88083750
1881p_,51.42810,-0.33738,Albert Terrace,893075111
1881q_,51.43225,-0.34820,Garfield Terrace,961008795
1881r_,51.43242,-0.34830,Woburn Terrace,972851567
1881s_,51.43022,-0.34918,Portland Villas,966391556
1882,51.61371,-0.33155,,
1882aX,51.46891,-0.35827,Salvation Army [removed (painted over) - Google Street View image © Google],1035381950
1882b_,51.43852,-0.49964,Rose Cottages,
1882c_,51.43777,-0.49804,East View Cottages,308358247
1882d_,51.43781,-0.49854,South View Cottages,308358245
1882e_,51.48734,-0.30255,Invercauld Terrace,
1882f_,51.52791,-0.44580,Providence Cottages,
1882g_,51.52872,-0.44477,Normax [?],
1882h_,51.52747,-0.44497,[?],
1882i_,51.50236,-0.30717,,90861495
1882j,51.59757,-0.39655,,
1882l,51.59722,-0.38528,East View,
1882m_,51.59337,-0.17402,Pine Villas,187126596
1882n_,51.51910,-0.42309,Beulah Villas,
1882o_,51.57715,-0.11528,,
1882p_,51.57685,-0.11505,,
1883,51.51381,-0.30245,,89702343,
1883a_,51.48345,-0.30256,Brentford Sewage Pumping Station Erected AD 1883,880566108
1883b_,51.48732,-0.30279,Linden Cottages,
1883c_,51.467596,-0.358369,Sunbeam Villas,
1883d_,51.4673761,-0.3584072,[?],
1883e_,51.4672878,-0.3584346,[?] Villas,
1883f_,51.43846,-0.49866,South View Cottages,
1883g_,51.43802,-0.49800,East View Cottages,308358249
1883h_,51.43769,-0.49865,North View Cottages,
1883i_,51.43767,-0.49846,North View Cottages,
1883j_,51.43770,-0.49894,North View Cottages,
1883k_,51.43772,-0.49919,Stanley Cottages,
1883l_,51.48754,-0.30196,Wolverton Cottages,
1883m_,51.52842,-0.44510,Beaconsfield Cottages,
1883n,51.52592,-0.44194,Hope Cottages,
1883o_,51.42599,-0.33618,,708049989
1883p_,51.42833,-0.37398,Rose Cottage,
1884,51.572413,-0.3411424,,
1884a_,51.48742,-0.3023,Inverness Terrace,
1884b_,51.4670146,-0.3592203,[?] Villas,
1884c_,51.43828,-0.49869,Gloucester Villas,308358258
1884d_,51.44732,-0.40743,,755628350
1884e,51.54037,-0.48973,Church Cottages H.B,
1884f,51.58324,-0.34226,Werrington Villas,
1884g_,51.49177,-0.30817,Faringdon Villas,459194147
1884h,51.50378,-0.37877,Spinner Cottages,
1884i_,51.42705,-0.33799,Marden Cottage,
1884j_,51.42696,-0.33827,Woodbury Villas,
1884k_,51.43208,-0.34643,Perry Cottages,961008762
1884l_,51.4263,-0.3613,Ferndale,
1884m_,51.43237,-0.38265,Bloomfield,
1884n_,51.43281,-0.38305,Thornton Villas,
1885,51.58609,-0.44068,Hope Cottages,
1885a_,51.4717719,-0.363735,[?] Cottages,
1885b_,51.41431,-0.36646,Avenue Villa,
1885c_,51.46579,-0.35958,[?wood] Villas,
1885d_,51.41423,-0.36645,Melrose Villa,
1885e,51.57363,-0.33527,AD,229557975
1885f_,51.43829,-0.49884,Warwick Villas,308358260
1885g,51.57710,-0.42892,Home Cottages,
1885h,51.48894,-0.47769,This stone was laid by Mrs. J.D. Allcroft March 10th,
1885i_,51.60285,-0.12019,George's Villas,838009289
1885j_,51.48409,-0.34833,AD,308614057
1885k_,51.57689,-0.11468,Branksome,284332755
1885l_,51.66661,-0.08634,Percival Villas,87963819
1885m,51.50379,-0.37890,Gordon Cottages,
1885n_,51.41367,-0.36791,MRA,
1886,51.53352,-0.45623,Sunningdale Cottages,
1886a_,51.4671991,-0.3584619,Brodmore Villas,
1886b_,51.67729,-0.03507,Claremont Villas,99491552
1886c_,51.67745,-0.03497,[?] Villa,99491557
1886d_,51.43832,-0.49916,York Villas,308358264
1886e_,51.43831,-0.49899,Lincoln Villas,308358262
1886f_,51.43849,-0.49902,Wellow Villas,
1886g_,51.54932,-0.47794,Hastings Terrace,
1886h,51.53801,-0.48383,Gladstone Villas,
1886i,51.59761,-0.39623,,
1886j_,51.57944,-0.12110,,
1886k,51.59758,-0.39645,,
1886l,51.53375,-0.45636,Rosebank Cottages,
1886m_,51.661142,-0.0861842,Raleigh Place,
1886n_,51.42652,-0.33520,Laburnum Cottages,
1886o_,51.4262,-0.3618,Longford Cottages,
1886p_,51.42842,-0.37425,Beach Cottage,
1887,51.51689,-0.29998,Alpha Cottages,984971824
1887a_,51.6616157,-0.0858438,Henrietta Cottages,
1887b_,51.6609585,-0.0855164,Ashby Terrace,
1887c_,51.55341,-0.47785,Belle.Vue Villas,
1887d_,51.55325,-0.47797,Downton Villas,
1887e,51.51609,-0.29967,,975755938
1887f_,51.6612687,-0.0860591,Raleigh Buildings.,
1887g,51.53408,-0.24792,VR,627997846
1887h_,51.58713,-0.09743,Built in the [?],891209395
1887i,51.53802,-0.48364,Home Cottage,
1887k_,51.50378,-0.37906,Jubilee Cottages,
1887l_,51.42882,-0.33722,Ivy Cottage,
1887m_,51.42799,-0.33730,Nemour Cottages,893078615
1887n_,51.43298,-0.38346,St James's Villas,
1887o_,51.43346,-0.38486,Fulmer Cottages,
1887p_,51.53956,-0.48314,Demston Cottage,
1888,51.46627,-0.36759,,
1888a_,51.6618918,-0.0885904,Witham Villa,
1888b_,51.6608851,-0.0852505,Percy Villa,
1888c_,51.58786,-0.11750,,338351270
1888d_,51.67782,-0.03475,Vernum Cottages,99491561
1888e,51.59624,-0.38629,North End Cottage,
1888f_,51.42979,-0.50799,Katrine,
1888g,51.52985,-0.48175,Anchor Cottages,
1888h,51.52973,-0.48175,Hope Cottages,
1888i,51.51611,-0.29943,,975755939
1888j,51.51612,-0.29928,,975755940	
1888k,51.51614,-0.29909,,975755941
1888l_,51.65279,-0.08464,The Hollies,91063138
1888m,51.54072,-0.48300,River View,
1888n,51.53836,-0.48333,Pleasant Place,
1888o,51.54485,-0.48300,Providence Cottages,
1888p_,51.52091,-0.31461,[on drainpipe],238868600
1888q_,51.4141317,-0.3655692,[?] Villas,
1888r_,51.66639,-0.06715,Eton Cottages,92768560
1888s,51.51063,-0.37216,Prospect Place,
1888t_,51.53919,-0.48323,[?],
1888u,51.53990,-0.48314,Eversholt Place,
1888v_,51.42710,-0.33877,Albany Terrace,
1888w,51.53823,-0.48336,Industry,
1888x_,51.43230,-0.47056,George's Villa,
1888y_,51.50562,-0.33813,[last digit unclear],948549764
1889,51.57019,-0.33985,,
1889a,51.6084408,-0.4154621,Norfolk Terrace,
1889b_,51.58347,-0.11669,Millman Terrace,457491928
1889c_,51.6489815,-0.0462589,Durants Villas,
1889d_,51.63271,-0.12891,,188836642
1889e_,51.4635452,-0.3658488,[?] Villas,
1889f_,51.4684958,-0.3763424,Solan Cottages,
1889g_,51.66720,-0.01809,Lee Conservancy,304102037
1889h_,51.60024,-0.07170,[?] Terrace [date unclear],
1889i_,51.43735,-0.49820,[?] Cottages,
1889j_,51.42940,-0.50568,J.A.E,
1889k,51.61438,-0.15084,A.D,187942947
1889l_,51.65279,-0.08675,This stone was laid by Mrs T W Hollington on October 9th [WM],74962256
1889m,51.51614,-0.29892,,975755942
1889o,51.58035,-0.23777,Midland Hotel,469004944
1889p_,51.46694,-0.38058,[?],
1889q_,51.58236,-0.11892,Clarke's Buildings [sign painted in 2009],1068167543
1889r,51.54094,-0.20429,Christ Church Brondesbury Infant School and Mission Room,148895102
1889s_,51.42701,-0.33805,Eversley Villa,
1889t_,51.42745,-0.37147,Essex House Built,
1889u_,51.42984,-0.38728,Portland Cottages,
1890,51.60618,-0.41712,Industry Cottage,
1890a_,51.63144,-0.17508,Rebuilt - The Green Man,
1890b,51.49601,-0.37372,Metropolitan Police,324588931
1890c_,51.66862,-0.04124,,860483217
1890d_,51.40312,-0.46344,[date unclear],
1890e,51.50119,-0.38697,HD,327315538
1890f_,51.43355,-0.47632,South View,
1891,51.57591,-0.34293,,
1891a_,51.5821486,-0.33576,Gladstone Villas,
1891b,51.58207,-0.33573,Nelson Villas,
1891c,51.58195,-0.33573,Angel Villas,
1891d_,51.4701743,-0.3651014,Albert Villas,
1891e_,51.60632,-0.41875,Sunnyside Villas,
1891f,51.46644,-0.36016,Myrtle Villas,
1891g,51.46633,-0.36023,Peascod Villas,
1891h_,51.43519,-0.50233,Kimpton House,566113416
1891j_,51.3990,-0.4474,The Laurels +,
1891k_,51.46650,-0.38312,Warwick Terrace,
1891l,51.61295,-0.33132,Roxwell Cottages,
1891m_,51.66569,-0.08193,Lancester Cottage [modern sign],90831025
1892,51.57847,-0.09911,Cavendish Parade,
1892a_,51.6175664,-0.0637221,The Golden Fleece,
1892b,51.582235,-0.33576,Palmerston Villas,
1892c_,51.582324,-0.33576,Peel Villas,
1892d_,51.5824046,-0.33576,,
1892e,51.53626,-0.24501,,256915441
1892f_,51.4671261,-0.3600035,Herbert Villas,
1892g_,51.46660,-0.35886,Welham Villas,
1892h_,51.57538,-0.33449,,162542512
1892i_,51.57828,-0.12416,,264852322
1892j_,51.58554,-0.11431,Windermere Villas,457737894
1892k_,51.59243,-0.32981,Smith Cottage,
1892l_,51.66706,-0.08664,,87963813
1892m,51.51163,-0.37163,Thorn Cottages,
1892n_,51.44040,-0.34907,Wycombe Cottages,311913755
1892o,51.52945,-0.48239,Cedar Cottages H. B,
1893,51.60988,-0.42124,Ferndale Villas,
1893a_,51.49189,-0.26197,,
1893b_,51.5825051,-0.33576,Prince Albert Villas,
1893c,51.5826142,-0.33576,Duke of York Villas,
1893d,51.58278,-0.33576,Victoria Villas,
1893e,51.5826779,-0.33576,Princess May Villas,
1893f_,51.468403,-0.3763176,Cromore Villas,
1893g_,51.4686,-0.3763445,Saltwood Cottage,
1893h_,51.64366,-0.04756,,326821909
1893i_,51.4668392,-0.3598827,[?] Villas,
1893j_,51.46664,-0.36002,[date unclear],
1893l,51.54718,-0.22936,,123372214
1893m,51.54113,-0.20477,Christ Church Schools. A.D.,148895102
1893n_,51.66731,-0.08665,Florence Villas,87803753
1893o_,51.50151,-0.38424,AD,
1894,51.46839,-0.37838,Warwick Villas,
1894b_,51.6327568,-0.1286842,[date unclear],
1894c_,51.4692693,-0.364253,[?] Terrace,
1894d_,51.67131,-0.02976,Sussex House,104050735
1894e_,51.46591,-0.35941,Inwood Villas,
1894f_,51.4670787,-0.3596186,Clyde Villas,
1894g_,51.46644,-0.35890,Wolesey Villas,
1894h_,51.57671,-0.33477,[on drainpipe],208127182
1894i_,51.43851,-0.49955,The Oaks,
1894j,51.49639,-0.25147,,
1894k_,51.51097,-0.30195,,91254680
1894l_,51.50201,-0.38484,Daisy Villas F V,
1894m_,51.44168,-0.35049,Fairview Cottages,311908902
1894n_,51.42230,-0.44412,Orchard Villa,
1895,51.4835022,-0.3704674,Heston Fire Station,
1895a_,51.6638547,-0.0930174,Hazelwood Villas,
1895b_,51.42596,-0.33813,,708227986
1895c_,51.4632947,-0.3677166,The Wells,
1895d_,51.4707744,-0.365307,Lucerne Villas,
1895e_,51.4710552,-0.3653585,Pilatus Villas,
1895f,51.54772,-0.23651,This stone was laid... on 13th July,
1895g,51.47207,-0.36401,Fernlea Villas,
1895h_,51.43274,-0.47774,A.B. District Bakery [tablet transferred to new building],
1895i_,51.51225,-0.47081,Fern Cottage,
1895j,51.52075,-0.30389,ELB [street light],
1895k_,51.57973,-0.12364,AD [clock tower],154539130
1895l_,51.58233,-0.12335,,457486121
1895m_,51.50287,-0.38702,Roseband Villas,
1895n_,51.50355,-0.38985,Ivy Villas,
1895o_,51.42913,-0.35410,Matthews Stores,311971041
1895p,51.53903,-0.48373,Sunnyside [number damaged],
1896,51.57971,-0.24223,,
1896a_,51.58768,-0.11671,A.D.,533651125
1896b_,51.58767,-0.11706,,533896122
1896c,51.58221,-0.34205,,
1896d_,51.4693555,-0.3578947,Malborough Villas,
1896e_,51.42883,-0.50473,for use as an Infants School A.D.,
1896f_,51.51211,-0.47082,May Cottages,
1896g_,51.66439,-0.06739,Primrose Cottages,92785040
1896h_,51.60523,-0.12248,,
1896i_,51.50329,-0.47566,Daisy Villas,
1896j_,51.58766,-0.11694,The Pavement,533896121
1896k_,51.4690069,-0.3581276,Lewisham Villas,
1896l_,51.66588,-0.08159,Clay Hill Church Institute A.D.,90692448
1896m_,51.66748,-0.08668,Pilgrim Villas,87803636
1896n_,51.50301,-0.38572,Lacy Cottages,
1896o_,51.50367,-0.38688,Rose Villas,
1896p_,51.50364,-0.38716,Hawarden Villas,
1896q_,51.42694,-0.33803,Dene Cottage,
1896r_,51.50794,-0.31252,Broxbury,128881851
1896s_,51.50749,-0.31250,,864507400
1896t_,51.50756,-0.31263,,864507399
1897,51.58292,-0.09995,,
1897a_,51.6438809,-0.0465746,,
1897b_,51.41329,-0.36418,,
1897c_,51.41286,-0.36532,,
1897d_,51.58188,-0.09975,,
1897e_,51.50506,-0.30565,,92482661
1897f,51.49256,-0.26692,,205697238
1897g,51.50192,-0.38239,,326005890
1897h,51.51304,-0.47293,This foundation stone of the Church of S.Matthew was laid September 24 AD,96882518
1897i_,51.58413,-0.06883,A.D.,163085077
1897j_,51.49975,-0.25597,,787287285
1897k_,51.57063,-0.13832,,4368279,
1897l,51.61829,-0.23512,[Photo © Jim Osley CC-By-SA],
1897m_,51.64158,-0.06874,Erected,661557477
1897n_,51.65226,-0.08205,,549621182
